claim_no,policy_no,plate_no,source_file,class_of_business,vehicle_type_group,vehicle_type,accident_type,branch_name,sum_insured_numeric,reporting_lag_days,coverage_duration_days,is_comprehensive,policy_type,accident_date,notification_date,period_from,period_to,od_total,tp_bi_total,tp_pd_total,total_claim_severity,log_claim_severity
 TTW/MTC/131/23,TTW/MTC/4963/0518,03-96688 ET,April_2025,Public_Transport,Bus_Minibus,Bus,Collision,Tewodros,5000000.0,1.0,365.0,1,COMPREHENSIVE,2023-07-31 00:00:00,2023-08-01,2023-05-16,2024-05-15,7120.0,0.0,0.0,7120.0,8.87066300440602
TAA/MTP/001/24,TKL/MTP/3974/1024,02-C37174AA,March_2025,Private,Automobile,Automobile,Collision,Ayat,2500000.0,0.0,364.0,1,COMPREHENSIVE,2024-06-11 00:00:00,2024-06-11,2024-10-08,2025-10-07,10000.0,0.0,0.0,10000.0,9.210340371976184
TAA/MTP/002/25,TAB/MTP/0124/0425,03-B76342AA,May_2025,Commercial,Automobile,Automobile,Flying_Object,Ayat,2300000.0,0.0,364.0,1,COMPREHENSIVE,2025-04-19 00:00:00,2025-04-19,2025-04-14,2026-04-13,30568.2,0.0,0.0,30568.2,10.327715531895178
TAD/MTCL/0008/20,TAD/MTC/1466/0819,03-83080ET,July_2024,Commercial,Automobile,Automobile,Collision,Adama,1855003.0,9.0,359.0,1,COMPREHENSIVE,2020-02-28 00:00:00,2020-03-08,2016-08-26,2017-08-20,3880.0,0.0,0.0,3880.0,8.263590432617319
TAD/MTP/001/25,TAD/MTC/6048/0721,03-33338/11359ET,March_2025,Commercial,Truck,Truck/Trailer,Collision,Adama,6000000.0,1.0,180.0,1,COMPREHENSIVE,2025-02-27 00:00:00,2025-02-28,2024-09-23,2025-03-22,2123698.44,0.0,0.0,2123698.44,14.568669673863091
TAD/MTP/002/24,TAD/MTC/8019/0523,03-48602ET,July_2024,Commercial,Automobile,Automobile,Collision,Adama,3000000.0,0.0,365.0,1,COMPREHENSIVE,2024-01-17 00:00:00,2024-01-17,2023-09-20,2024-09-19,300210.62,0.0,0.0,300210.62,12.612239573971491
TAD/MTP/003/25,TAD/MTC/1353/0716,03-23776/06941ET,April_2025,Commercial,Truck,Truck/Trailer,Overturning,Adama,4500000.0,3.0,364.0,1,COMPREHENSIVE,2025-03-09 00:00:00,2025-03-12,2024-07-08,2025-07-07,236649.68,0.0,0.0,236649.68,12.374336183125578
TAD/MTP/005/25,TAD/MTC/9765/0125,03-34274/08950ET,June_2025,Commercial,Truck,Truck/Trailer,Fire,Adama,3500000.0,1.0,180.0,1,COMPREHENSIVE,2025-05-07 00:00:00,2025-05-08,2025-01-03,2025-07-02,39392.93,0.0,0.0,39392.93,10.581341637560085
TAD/MTP/006/24,,03-89094/27258ET,September_2024,Commercial,Truck,Tanker/Trailer,Collision,Adama,10000000.0,4.0,365.0,1,COMPREHENSIVE,2024-03-01 00:00:00,2024-03-05,2023-04-03,2024-04-02,165192.5,0.0,0.0,165192.5,12.014866739522686
TAD/MTP/006/25,TAD/MTC/8264/1023,03-82352/25175ET,June_2025,Commercial,Truck,Truck,Breaking_Glass,Adama,11000000.0,2.0,364.0,1,COMPREHENSIVE,2025-05-10 00:00:00,2025-05-12,2024-11-07,2025-11-06,155050.0,0.0,0.0,155050.0,11.951502924528596
TAD/MTP/007/24,TAD/MTC/8223/0923,03-04616/46741ET,July_2024,Commercial,Automobile,Automobile,Overturning,Adama,5000000.0,0.0,183.0,1,COMPREHENSIVE,2024-04-20 00:00:00,2024-04-20,2024-03-26,2024-09-25,532831.65,0.0,0.0,532831.65,13.185960799597172
TAD/MTP/008/23,TAD/MTC/1710/0123,03-33414/15116ET,October_2024,Commercial,Truck,Truck/Trailer,Overturning,Adama,3000000.0,0.0,180.0,1,COMPREHENSIVE,2023-05-22 00:00:00,2023-05-22,2023-01-29,2023-07-28,97823.62,0.0,0.0,97823.62,11.4909213401557
TAD/MTP/008/24,TAD/MTC/3002/0918,03-98654/29733ET,July_2024,Commercial,Automobile,Automobile,Collision,Adama,4000000.0,0.0,364.0,1,COMPREHENSIVE,2024-04-30 00:00:00,2024-04-30,2024-03-25,2025-03-24,174266.75,0.0,0.0,174266.75,12.068342450258315
TAD/MTP/009/24,TAD/MTC/3491/0619,03-58798/01636ET,August_2024,Commercial,Truck,Tanker/Trailer,Overturning,Adama,9000000.0,4.0,365.0,1,COMPREHENSIVE,2024-06-02 00:00:00,2024-06-06,2023-08-08,2024-08-07,281095.0,0.0,0.0,281095.0,12.546447969472108
TAD/MTP/011/24,,03-57446/47707ET,September_2024,Commercial,Truck,Truck/Trailer,Other,Adama,5500000.0,,334.0,1,COMPREHENSIVE,2024-09-07 00:00:00,2024-07-29,2024-11-03,2025-10-03,3480.0,0.0,0.0,3480.0,8.15478757276852
TAD/MTP/012/23,TAD/MTC/2066/0317,03-89095/27262ET,July_2024,Commercial,Automobile,Automobile,Collision,Adama,10000000.0,1.0,365.0,1,COMPREHENSIVE,2023-09-05 00:00:00,2023-09-06,2023-04-03,2024-04-02,985396.12,0.0,0.0,985396.12,13.800798991596931
TAD/MTP/012/24,TAD/MTC/6423/0321,03-15716/03236ET,October_2024,Commercial,Truck,Tanker/Trailer,Overturning,Adama,2500000.0,0.0,365.0,1,COMPREHENSIVE,2024-08-26 00:00:00,2024-08-26,2023-12-23,2024-12-22,273550.14,0.0,0.0,273550.14,12.519240211281277
